"SenderActor","Action","ReceiverActor","Date","Latitude","Longitude","Country","Source"
"anti","protest","govt",2011-02-17,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-02-17,30.9,31,"Egypt","gdelt"
"govt","repress","anti",2011-02-17,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-02-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-02-26,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-03-04,27,30,"Egypt","gdelt"
"govt","repress","anti",2011-03-04,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2011-03-05,27,30,"Egypt","gdelt"
"govt","repress","anti",2011-03-05,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2011-04-10,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-04-11,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-04-29,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-05-03,26.1642,32.7267,"Egypt","gdelt"
"govt","repress","anti",2011-05-15,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-05-19,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-05-26,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-05-27,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-05-27,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-05-27,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-06-15,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-06-28,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-06-29,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-06-29,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-06-29,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-06-30,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-06-30,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-07-01,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2011-07-01,29.9737,32.5263,"Egypt","gdelt"
"anti","protest","govt",2011-07-01,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-07-05,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-07-06,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-07-11,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-07-11,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-07-12,30.0771,31.2859,"Egypt","gdelt"
"anti","protest","govt",2011-07-13,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-07-23,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-07-23,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-07-24,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-07-24,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-07-27,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-08-01,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-08-03,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-08-07,26.1642,32.7267,"Egypt","gdelt"
"govt","repress","anti",2011-08-12,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-08-12,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-08-13,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-08-21,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-08-21,27.181,31.1837,"Egypt","gdelt"
"anti","protest","govt",2011-08-22,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-08-26,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-08-27,26.1642,32.7267,"Egypt","gdelt"
"govt","repress","anti",2011-09-05,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-09,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-10,30.0771,31.2859,"Egypt","gdelt"
"anti","protest","govt",2011-09-10,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-11,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-09-11,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-12,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-09-15,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-16,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-17,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-28,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-28,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-09-29,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-10-09,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-10-10,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-10-26,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-10-28,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2011-10-28,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2011-10-29,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2011-11-17,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-11-19,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-11-19,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-19,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2011-11-19,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-19,26.557,31.6948,"Egypt","gdelt"
"govt","repress","anti",2011-11-20,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2011-11-20,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-20,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-20,26.557,31.6948,"Egypt","gdelt"
"govt","repress","anti",2011-11-20,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2011-11-20,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-20,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-20,26.557,31.6948,"Egypt","gdelt"
"govt","repress","anti",2011-11-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-22,30.6043,32.2723,"Egypt","gdelt"
"govt","repress","anti",2011-11-22,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-11-23,30.6043,32.2723,"Egypt","gdelt"
"govt","repress","anti",2011-11-23,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-11-24,30.0428,31.2367,"Egypt","gdelt"
"govt","repress","anti",2011-11-24,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2011-11-24,31.0364,31.3807,"Egypt","gdelt"
"govt","repress","anti",2011-11-24,30.0771,31.2859,"Egypt","gdelt"
"govt","repress","anti",2011-11-24,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-11-25,30.0771,31.2859,"Egypt","gdelt"
"anti","protest","govt",2011-11-25,30.0428,31.2367,"Egypt","gdelt"
"anti","protest","govt",2011-11-25,30.6043,32.2723,"Egypt","gdelt"
